                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.56799,                0.40701,                0.91616,                0.97539,                0.97928,                0.98882,                0.87142,                0.55832,                0.33425,                0.92886,               0.001296,               0.001296,               0.001296
                     96,                0.55539,                0.41625,                0.90256,                0.97765,                      1,                0.99455,                0.87541,                0.56208,                0.33743,                0.91768,              0.0012946,              0.0012946,              0.0012946
                     97,                0.56481,                0.41737,                0.91587,                0.98268,                 0.9678,                0.99463,                0.84898,                0.56336,                0.33761,                0.89417,              0.0012932,              0.0012932,              0.0012932
                     98,                0.55719,                0.41085,                0.90531,                0.96643,                0.99214,                0.99167,                0.86725,                0.51131,                0.42981,                0.86983,              0.0012918,              0.0012918,              0.0012918
                     99,                0.56299,                0.41114,                0.91352,                0.97515,                0.99258,                0.99134,                0.88695,                0.50307,                0.34016,                0.86935,              0.0012904,              0.0012904,              0.0012904
                    100,                0.56864,                0.41725,                0.91141,                0.96841,                0.99074,                0.99106,                0.87315,                0.56258,                 0.3292,                0.90149,              0.0012889,              0.0012889,              0.0012889
                    101,                0.58221,                0.42633,                0.92474,                0.98245,                0.97641,                0.99091,                0.88882,                0.52611,                0.32838,                0.90206,              0.0012875,              0.0012875,              0.0012875
                    102,                 0.5447,                0.41504,                0.91064,                0.96599,                0.99074,                 0.9911,                0.88597,                0.51044,                0.32169,                0.89819,              0.0012861,              0.0012861,              0.0012861
                    103,                 0.5449,                0.40474,                 0.9032,                0.98369,                0.98006,                0.99105,                0.88378,                0.52626,                0.32791,                0.88021,              0.0012847,              0.0012847,              0.0012847
                    104,                0.53944,                0.38989,                0.90435,                0.97537,                 0.9899,                0.99295,                0.84971,                0.56414,                 0.3381,                0.91442,              0.0012833,              0.0012833,              0.0012833
                    105,                0.54389,                0.38967,                0.90328,                0.96396,                0.99739,                0.99447,                0.88377,                0.49098,                0.34087,                0.88434,              0.0012819,              0.0012819,              0.0012819
                    106,                0.55102,                0.40423,                0.90993,                0.96252,                0.99537,                0.98329,                0.85767,                0.51455,                0.33296,                0.90861,              0.0012805,              0.0012805,              0.0012805
                    107,                0.55607,                0.41488,                0.91448,                0.97997,                0.99074,                0.99239,                0.85613,                 0.5354,                0.33631,                0.90523,               0.001279,               0.001279,               0.001279
                    108,                0.55222,                0.39511,                0.90272,                0.96445,                0.99843,                0.99404,                0.89289,                 0.5096,                0.33044,                0.87995,              0.0012776,              0.0012776,              0.0012776
                    109,                0.53962,                0.39627,                 0.9049,                0.97762,                0.98611,                0.98219,                0.87811,                0.49379,                 0.3219,                 0.8542,              0.0012762,              0.0012762,              0.0012762
                    110,                0.53735,                0.39923,                0.90621,                0.98032,                0.99363,                0.99316,                0.85881,                0.55418,                0.36199,                 0.9058,              0.0012748,              0.0012748,              0.0012748
                    111,                0.53621,                0.39552,                0.90012,                0.97706,                0.99215,                0.98576,                0.86706,                0.51706,                0.30093,                0.85934,              0.0012734,              0.0012734,              0.0012734
                    112,                0.52889,                0.38938,                0.90435,                0.97363,                0.98882,                0.99129,                0.87552,                0.50566,                0.32245,                 0.8683,               0.001272,               0.001272,               0.001272
                    113,                0.54253,                0.38545,                0.90656,                0.97121,                0.99387,                  0.991,                0.88243,                0.49092,                0.30699,                 0.8535,              0.0012706,              0.0012706,              0.0012706
                    114,                0.52603,                0.38373,                0.89039,                0.97377,                0.98919,                0.98824,                0.86566,                0.49969,                0.31912,                0.87594,              0.0012691,              0.0012691,              0.0012691
                    115,                0.54154,                0.39505,                0.90642,                0.97358,                0.99448,                0.99093,                0.87939,                0.51624,                0.33003,                0.89588,              0.0012677,              0.0012677,              0.0012677
                    116,                0.54422,                0.39935,                0.90362,                0.97732,                0.98716,                0.98222,                0.86601,                0.54373,                0.32866,                0.88664,              0.0012663,              0.0012663,              0.0012663
                    117,                0.53462,                0.39953,                0.90381,                0.97744,                0.97685,                0.98862,                0.87732,                0.54857,                0.33301,                 0.9133,              0.0012649,              0.0012649,              0.0012649
                    118,                0.52043,                0.39469,                0.89787,                0.97405,                0.98828,                0.99263,                0.88718,                 0.4801,                0.30952,                0.86634,              0.0012635,              0.0012635,              0.0012635
                    119,                0.55421,                0.40283,                 0.8995,                 0.9638,                0.98869,                0.98229,                0.85958,                0.50929,                0.33493,                0.86811,              0.0012621,              0.0012621,              0.0012621
                    120,                0.53862,                0.40136,                0.89774,                0.96269,                0.99035,                0.99226,                0.86587,                0.52114,                0.31538,                0.86692,              0.0012606,              0.0012606,              0.0012606
                    121,                0.52902,                0.38371,                0.89629,                0.96707,                0.98249,                0.99276,                0.88236,                0.52068,                0.32986,                0.87614,              0.0012592,              0.0012592,              0.0012592
                    122,                0.52507,                 0.3821,                0.89101,                 0.9779,                0.98077,                0.99302,                0.88336,                0.50152,                0.33937,                0.86478,              0.0012578,              0.0012578,              0.0012578
                    123,                0.51741,                0.37024,                0.90177,                0.97223,                0.99403,                0.99482,                0.88762,                0.52994,                0.33834,                0.88527,              0.0012564,              0.0012564,              0.0012564
                    124,                0.54204,                0.38855,                0.90301,                0.97453,                0.98526,                0.98417,                0.86761,                 0.5136,                0.34517,                0.86576,               0.001255,               0.001255,               0.001255
                    125,                0.52833,                0.38135,                0.90779,                0.96082,                0.99916,                0.99362,                0.89263,                0.45876,                0.30815,                0.84626,              0.0012536,              0.0012536,              0.0012536
                    126,                0.52697,                0.37388,                0.89768,                0.96467,                      1,                 0.9939,                0.88916,                0.48571,                0.31228,                0.85307,              0.0012522,              0.0012522,              0.0012522
                    127,                0.51695,                0.36716,                0.89094,                0.95686,                0.99381,                0.99295,                0.90873,                0.45767,                0.30838,                0.84017,              0.0012507,              0.0012507,              0.0012507
                    128,                0.52702,                0.37964,                0.90032,                0.98096,                 0.9885,                0.99018,                0.85969,                0.52005,                0.34078,                0.88679,              0.0012493,              0.0012493,              0.0012493
                    129,                0.51834,                 0.3765,                0.90247,                0.97292,                0.99393,                0.99167,                0.89295,                0.50997,                0.30483,                0.87556,              0.0012479,              0.0012479,              0.0012479
                    130,                0.51464,                  0.371,                0.89072,                0.98296,                0.98433,                  0.991,                0.87416,                0.52013,                0.30289,                0.86755,              0.0012465,              0.0012465,              0.0012465
                    131,                0.51823,                0.36904,                0.88997,                0.97797,                0.99078,                0.99139,                0.88657,                0.51198,                0.29855,                0.85907,              0.0012451,              0.0012451,              0.0012451
                    132,                0.50985,                0.37198,                0.89242,                 0.9791,                0.96976,                0.98836,                 0.8912,                 0.4725,                0.31521,                0.86733,              0.0012437,              0.0012437,              0.0012437
                    133,                0.51026,                0.36465,                0.89117,                0.97953,                 0.9986,                0.99412,                0.86996,                0.53835,                0.31158,                0.89708,              0.0012423,              0.0012423,              0.0012423
                    134,                0.52096,                0.38285,                0.89659,                0.97295,                0.99589,                0.99345,                0.90051,                0.47923,                0.31582,                0.84944,              0.0012408,              0.0012408,              0.0012408
                    135,                0.50887,                0.36909,                0.90452,                0.97037,                0.99537,                0.99415,                0.88323,                0.46305,                0.30856,                0.85236,              0.0012394,              0.0012394,              0.0012394
                    136,                0.54461,                0.38852,                0.90121,                0.96527,                      1,                0.99482,                0.89033,                0.46627,                0.31029,                0.86044,               0.001238,               0.001238,               0.001238
                    137,                0.51214,                0.37352,                0.88734,                0.97211,                0.99537,                0.99097,                0.87947,                 0.4418,                0.29356,                0.84362,              0.0012366,              0.0012366,              0.0012366
                    138,                0.52247,                0.38424,                0.90335,                0.96361,                0.99135,                0.99128,                0.87535,                0.51886,                0.32068,                0.88086,              0.0012352,              0.0012352,              0.0012352
                    139,                0.53127,                0.37005,                0.89978,                0.97261,                0.99074,                0.99109,                0.88403,                0.49034,                0.30842,                0.86132,              0.0012338,              0.0012338,              0.0012338
